Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
test7,Chrome 64.0.3282.119,,2018-03-28 20:07:32,2018-03-28 20:08:01,29.374s,PASSED
,,,,,,
Test Cases/test7,Chrome 64.0.3282.119,teacher add class,2018-03-28 20:07:33,2018-03-28 20:08:01,28.424s,PASSED
openBrowser,Chrome 64.0.3282.119,,2018-03-28 20:07:33,2018-03-28 20:07:41,7.256s,PASSED
navigateToUrl,Chrome 64.0.3282.119,,2018-03-28 20:07:41,2018-03-28 20:07:48,7.502s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:48,2018-03-28 20:07:48,0.316s,PASSED
click,Chrome 64.0.3282.119,,2018-03-28 20:07:48,2018-03-28 20:07:52,3.397s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:52,2018-03-28 20:07:52,0.145s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:52,2018-03-28 20:07:52,0.122s,PASSED
click,Chrome 64.0.3282.119,,2018-03-28 20:07:52,2018-03-28 20:07:53,1.018s,PASSED
click,Chrome 64.0.3282.119,,2018-03-28 20:07:53,2018-03-28 20:07:56,3.028s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:56,2018-03-28 20:07:56,0.229s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:56,2018-03-28 20:07:57,0.105s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:07:57,0.166s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:07:57,0.233s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:07:57,0.121s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:07:57,0.184s,PASSED
setText,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:07:57,0.125s,PASSED
click,Chrome 64.0.3282.119,,2018-03-28 20:07:57,2018-03-28 20:08:00,2.652s,PASSED
click,Chrome 64.0.3282.119,,2018-03-28 20:08:00,2018-03-28 20:08:00,0.376s,PASSED
verifyElementText,Chrome 64.0.3282.119,,2018-03-28 20:08:00,2018-03-28 20:08:00,0.085s,PASSED
closeBrowser,Chrome 64.0.3282.119,,2018-03-28 20:08:00,2018-03-28 20:08:01,0.752s,PASSED
